Food Item,Day,Meal,Serving Location,Portion,Forecast,Prepared,Leftover,Served,When the food ran out,Any Distinctions?,How much food was wasted (%),Forecast vs. Prepared
7 Grain Hot Cereal,4/17/25,Breakfast,West Side (Cafe),1/2 Cup,30,30,0,30,,VGN,0,
7-Grain Hot Cereal,3/18/25,Breakfast,West Side (Cafe),1/2 Cup,40,40,0,40,,VGN,0,1
Alburro Sauce,3/14/25,Lunch,Order Up,1 Oz Ladle,160,160,2,158,,VGT,0.0125,1
Apple Crisp,2/24/25,Dinner,Bakery,Piece,450,490,0,490,,VGT,0,1.088888889
Arroz Con Leche,1/7/25,Breakfast,West Side (Cafe),1/2 Cup,70,70,,70,,,0,1
Asian Beef Lettuce Wrap,3/18/25,Lunch,Blue Plate Special,Wrap,400,450,0,450,,,0,1.125
Asian Beef Lettuce Wrap,3/31/25,Lunch,Blue Plate Special,Wrap,450,450,0,450,,,0,1
Assorted Bagels,1/6/25,Breakfast,Bakery,Bagel,120,108,13,95,,VGT,0.1203703704,0.9
Assorted Bagels,2/22/25,Brunch,Bakery,Bagel,324,288,0,288,,VGT,0,0.8888888889
Assorted Bagels,2/23/25,Brunch,Bakery,Bagel,252,250,0,250,13:20,VGT,0,0.9920634921
Assorted Bagels,3/8/25,Brunch,Bakery,Bagel,276,260,10,250,,VGT,0.03846153846,0.9420289855
Assorted Bagels,3/9/25,Brunch,Bakery,Bagel,276,280,60,220,,VGT,0.2142857143,1.014492754
Assorted Bagels,3/15/25,Breakfast,Bakery,Bagel,12,12,0,12,,,0,1
Assorted Bagels,3/19/25,Breakfast,Bakery,Bagel,84,150,0,150,,VGN,0,1.785714286
Assorted Bagels,3/31/25,Breakfast,Bakery,Bagel,120,120,10,110,,,0.08333333333,1
Assorted Bell Pepper Pizza,2/23/25,Dinner,Pizza,Slice,216,180,0,180,,VGT,0,0.8333333333
Assorted Meat Pizza,3/9/25,Brunch,Pizza,Slice,276,228,6,222,,,0.02631578947,0.8260869565
Avocado Salsa,4/16/25,Dinner,East Side (Taqueria),1 Oz Ladle,192,192,0,192,,VGN,0,1
Baked Ono With Garlic & Herb,3/18/25,Dinner,Blue Plate Special,4 Oz,630,630,0,630,,,0,1
Baked Potato,1/6/25,Dinner,Blue Plate Special,Potato,30,40,0,40,,VGN,0,1.333333333
Baked Potato,1/6/25,Lunch,Blue Plate Special,Potato,12,15,0,15,,VGN,0,1.25
Baked Potato,2/22/25,Brunch,Blue Plate Special,Potato,7,7,0,7,,VGN,0,1
Baked Potato,2/23/25,Brunch,Blue Plate Special,Potato,8,14,5,9,,,0.3571428571,1.75
Baked Potato,2/25/25,Dinner,Blue Plate Special,Potato,30,38,3,35,,VGN,0.07894736842,1.266666667
Baked Potato,3/5/25,Lunch,Blue Plate Special,Potato,10,15,3,12,,VGN,0.2,1.5
Baked Potato,3/8/25,Dinner,Blue Plate Special,Potato,25,25,5,20,8:45 PM,VGN,0.2,1
Baked Potato,3/9/25,Brunch,Blue Plate Special,Potato,8,15,0,15,,VGN,0,1.875
Baked Potato,3/9/25,Dinner,Blue Plate Special,Potato,30,30,0,30,8:30 PM,VGN,0,1
Baked Potato,3/14/25,Lunch,Blue Plate Special,Potato,8,15,2,13,,VGN,0.1333333333,1.875
Baked Potato,3/14/25,Dinner,Blue Plate Special,Potato,25,35,4,31,,VGN,0.1142857143,1.4
Baked Potato,3/16/25,Dinner,Blue Plate Special,Potato,30,30,0,30,,VGN,0,1
Baked Potato,3/17/25,Lunch,Blue Plate Special,Potato,15,15,0,15,,VGN,0,1
Baked Potato,3/17/25,Dinner,Blue Plate Special,Potato,25,35,4,31,,VGN,0.1142857143,1.4
Baked Potato,3/18/25,Lunch,Blue Plate Special,Potato,8,8,1,7,,VGN,0.125,1
Baked Potato,3/18/25,Dinner,Blue Plate Special,Potato,25,35,2,33,,VGN,0.05714285714,1.4
Baked Potato,3/31/25,Lunch,Blue Plate Special,1/2 Cup,8,15,0,15,,VGN,0,1.875
Baked Potato,4/16/25,Dinner,Blue Plate Special,Potato,30,30,2,28,,VGN,0.06666666667,
Baked Potato,4/17/25,Lunch,Blue Plate Special,Potato,8,12,1,11,,VGN,0.08333333333,
Baked Potato ,3/15/25,Dinner,Blue Plate Special,Potato,30,30,0,30,8:45 PM,VGN,0,1
