Food Item,Serving Location
Whole Plain Greek Yogurt (v),Greens & Grains
Strawberry Yogurt (v),Greens & Grains
Watermelon (vgn),Greens & Grains
Grapefruit Halves (vgn),Greens & Grains
Cantaloupe (vgn),Greens & Grains
Make Your Own Waffle (v),Greens & Grains
Granola Raspberry Parfait (v),Greens & Grains
Cinnamon Maple Granola (vgn),Greens & Grains
Cream of Wheat (v),Greens & Grains
Baby Spinach (vgn),Greens & Grains
Flour Tortilla (vgn),Bakery
Banana Muffin (v),Bakery
Raspberry White Chocolate Scone (v),Bakery
Fresh Cage Free Scrambled Eggs (v),The Grill
Cage Free Scrambled Egg Whites (v),The Grill
Breakfast Burrito (v),The Grill
Sausage Patty,The Grill
Cottage Fried Potatoes (vgn),The Grill
Steamed Fresh Broccoli (vgn),The Grill
Taco Salad,Greens & Grains
Chicken Fajita Wrap,Greens & Grains
Sliced Genoa Salami,Greens & Grains
Sliced Roast Beef,Greens & Grains
Sliced Provolone Cheese (v),Greens & Grains
Sliced Cheddar Cheese (v),Greens & Grains
Baked Sweet Potato (vgn),Greens & Grains
Long Grain Rice (vgn),Greens & Grains
Roasted Tomato Soup (v),Greens & Grains
Sugar Snap Peas (vgn),Salad Bar Featured Items
Ginger Sesame Tofu (vgn),Salad Bar Featured Items
Couscous (vgn),Salad Bar Featured Items
Tomato Basil Flatbread (v),The Brick
Three Cheese Pizza on White (v),The Brick
Fettuccine Pasta (vgn),The Brick
Tomato Cream Sauce (v),The Brick
Potato Bread (v),Bakery
Chocolate Chocolate Chip Bar (v),Bakery
Coconut Cream Pie (v),Bakery
Grilled Chicken Taco,Chef's Choice
Refried Beans (vgn),Chef's Choice
Salsa de Tomatillo Verde (vgn),Chef's Choice
Carrots with Fresh Thyme (vgn),Chef's Choice
Cilantro & Onion Mix (vgn),Chef's Choice
Pork Mu Shu,International
Moo Shu Vegetables with Tofu (vgn),International
Sticky Rice (vgn),International
Spinach Stir Fried with Garlic (vgn),International
Spicy Scallop Sushi Roll,International
Daikon Roll (vgn),International
Hamburger,The Grill
Baked Hawaiian Vegetarian Sandwich (v),The Grill
Steak Fries (vgn),The Grill
Chimichurri Sauce (vgn),The Grill
Chipotle Aioli (v),The Grill
Pumpkin Seed Pesto (v),The Grill
Linguini Pasta (vgn),The Brick
Pasta Penne with Chicken & Mushrooms,The Brick
New York Style Crumb Cake (vgn),Bakery
Grilled Chicken Breast,Chef's Choice
Pasta Shells w/Eggplant & Marinara (vgn),Chef's Choice
