Food Item,Rec 1,Rec 1 Location,Rec 2,Rec 2 Location,Rec 3,Rec 3 Location,Rec 4,Rec 4 Location
Oatmeal (vgn),Sausage Biscuits & Gravy,Grill (Cafe),Fluffy Whole Wheat Waffles (v),Grill (Cafe),Whole Wheat French Toast (v),Grill (Cafe),Make Your Own Waffle (v),Grill (Cafe)
Bacon,Grilled Tuna & Swiss on Sourdough,Grill (Cafe),Machaca de Jalisco Eggs,Grill (Cafe),Grits (vgn),Grill (Cafe),Cage Free Eggs Scrambled (v),Grill (Cafe)
Apple Crepe w/Caramel Sauce,Falafel on Pita with Raita Sauce (v),Grill (Cafe),Chicharron en Salsa Verde,Grill (Cafe),Lemon Bread (v),Bakery,Egg Drop Soup,Grill (Cafe)
Hash Browns (vgn),Grilled Ham with Honey Glaze,Grill (Cafe),Shrimp Sopes w/Roasted Poblano Crema,Grill (Cafe),Sopa de Lima,Grill (Cafe),Hot Dog,Grill (Cafe)
Cage Free Eggs Scrambled (v),Cage Free Scrambled Egg Whites (v),Grill (Cafe),Grits (vgn),Grill (Cafe),Grilled Swiss & Tomato on Wheat (v),Grill (Cafe),Shoestring Fries (vgn),Grill (Cafe)
Cage Free Scrambled Egg Whites (v),Cage Free Eggs Scrambled (v),Grill (Cafe),Grits (vgn),Grill (Cafe),Grilled Swiss & Tomato on Wheat (v),Grill (Cafe),Shoestring Fries (vgn),Grill (Cafe)
Fluffy Whole Wheat Waffles (v),Sausage Biscuits & Gravy,Grill (Cafe),Oatmeal (vgn),Grill (Cafe),Whole Wheat French Toast (v),Grill (Cafe),Make Your Own Waffle (v),Grill (Cafe)
Apple Bishop's Coffee Cake (v),Chocolate Chip Cake Kahlua (v),Bakery,Yellow Cake with Chocolate Icing (v),Bakery,Banana Choc Chip Muffin (v),Bakery,Raspberry Scone (v),Bakery
Lemon Poppyseed Muffin (v),Toll House Bar (vgn),Bakery,Carrot Muffin (vgn),Bakery,Boston Cream Pie (v),Bakery,Tres Leches Cake (v),Bakery
Sliced Roast Beef,Sliced Cheddar Cheese (v),Deli,Sliced Pepper Jack Cheese (v),Deli,Sliced Turkey,Deli,Sliced Pastrami,Deli
