Food Item,Rec 1,Rec 1 Location,Rec 2,Rec 2 Location,Rec 3,Rec 3 Location,Rec 4,Rec 4 Location
Arroz con Leche (v),Sausage Patty Chicken,Grill (Cafe),Grilled Cheese on Sourdough (v),Grill (Cafe),Cage Free Scrambled Eggs (v),Grill (Cafe),Sausage Patty,Grill (Cafe)
Sausage & Cheese Biscuit,Waffle (v),Grill (Cafe),Egg and Cheese Biscuit (v),Grill (Cafe),Whole Wheat French Toast (v),Grill (Cafe),Oatmeal (vgn),Grill (Cafe)
Cage Free Scrambled Eggs (v),Kosher Hot Dog,Grill (Cafe),Sausage Patty Chicken,Grill (Cafe),Ham and Cheese Crepe,Grill (Cafe),Arroz con Leche (v),Grill (Cafe)
Cage Free Scrambled Egg Whites (v),Krinkle Cut French Fries (vgn),Grill (Cafe),Mexican Style Cage Free Scrambled Egg(v),Grill (Cafe),Grilled Cheese/Tomatoes/Chiles (v),Grill (Cafe),Matzo Brei w/Raisins (v),Grill (Cafe)
Hash Browns (vgn),Grilled Cheddar on Wheat (v),Grill (Cafe),Grilled Ham & Cheddar on Wheat,Grill (Cafe),Matzo Brei w/Apples (v),Grill (Cafe),Cage Free Scrambled Greek Eggs (v),Grill (Cafe)
Waffle (v),Sausage & Cheese Biscuit,Grill (Cafe),Oatmeal (vgn),Grill (Cafe),Egg and Cheese Biscuit (v),Grill (Cafe),Whole Wheat French Toast (v),Grill (Cafe)
Multi-Grain Waffle (v),Texas French Toast (v),Grill (Cafe),Whole Wheat French Toast (v),Grill (Cafe),Egg and Cheese Biscuit (v),Grill (Cafe),Sausage & Cheese Biscuit,Grill (Cafe)
Blueberry Coffee Cake (vgn),Ginger Cookie (v),Bakery,Strawberry Muffin (v),Bakery,French Peach Crumb Pie (vgn),Bakery,Strawberry Shortcake (v),Bakery
Turkey Vegetable Soup,Hot and Sour Soup (vgn),Blue Plate Special,Lentil and Brown Rice Soup (vgn),Blue Plate Special,Gumbo Soup (vgn),Blue Plate Special,Danish Cauliflower Cheese Soup (v),Blue Plate Special
Ham Sandwich on Whole Wheat,Turkey Pastrami & Mozzarella Sandwich,Blue Plate Special,Grilled Chicken Vincenza Sandwich,Blue Plate Special,BBQ Chicken Sandwich,Blue Plate Special,Roasted Pork Loin Sandwich w/Gouda,Blue Plate Special
Kale/Peppers and Garlic (vgn),Crookneck Squash & Herbs (vgn),Blue Plate Special,Herbed Rotisserie Chicken w/Beet Dip,Blue Plate Special,Baked Ono with Garlic & Herb,Blue Plate Special,Baby Carrots with Tarragon (vgn),Blue Plate Special
Baked Potato (vgn),Mashed Red Potatoes (v),Blue Plate Special,Spinach with Fresh Garlic & Ginger (vgn),Blue Plate Special,French Cut Green Beans (vgn),Blue Plate Special,Fresh Vegetable Medley (vgn),Blue Plate Special
