Food Item,Rec 1,Rec 1 Location,Rec 2,Rec 2 Location,Rec 3,Rec 3 Location,Rec 4,Rec 4 Location
Whole Plain Greek Yogurt (v),Sliced Jack Cheese ,Greens & Grains,Raspberry Yogurt (v),Greens & Grains,Organic Fresh Strawberry ,Greens & Grains,Seedless Red Grape (vgn),Greens & Grains
Strawberry Yogurt (v),Sliced Swiss Cheese (v),Greens & Grains,Blueberry Yogurt (v),Greens & Grains,Honeydew & Berry Parfait (v),Greens & Grains,Sliced Genoa Salami,Greens & Grains
Watermelon (vgn),Sliced Provolone Cheese ,Greens & Grains,Jack Cheese ,Greens & Grains,Grapefruit Halves ,Greens & Grains,Caldo de Marisco,Greens & Grains
Grapefruit Halves (vgn),Sliced Cheddar Cheese ,Greens & Grains,Granola Cantaloupe Parfait ,Greens & Grains,Granola Cantaloupe Parfait (v),Greens & Grains,Italian Panini,Greens & Grains
Cantaloupe (vgn),Italian Tomato Panini ,Greens & Grains,Sliced Genoa Salami,Greens & Grains,Sliced Turkey Pastrami,Greens & Grains,Granola Honeydew Parfait (v),Greens & Grains
Make Your Own Waffle (v),Baked Oatmeal with Apple & Cinnamon (v),Greens & Grains,Fluffy Whole Wheat Waffles ,Greens & Grains,8 Grain Hot Cereal (vgn),Greens & Grains,Make Your Own Waffle ,Greens & Grains
Granola Raspberry Parfait (v),Sliced Cheddar Cheese ,Greens & Grains,Granola Cantaloupe Parfait ,Greens & Grains,Granola Cantaloupe Parfait (v),Greens & Grains,Italian Panini,Greens & Grains
Cinnamon Maple Granola (vgn),Caldo de Marisco,Greens & Grains,Grapefruit Halves ,Greens & Grains,Green Bean & Cucumber w/Miso (vgn),Greens & Grains,Flame Seedless Grape,Greens & Grains
Cream of Wheat (v),Cinnamon Maple Granola ,Greens & Grains,Watermelon ,Greens & Grains,Sliced Cheddar Cheese (v),Greens & Grains,Sliced Jack Cheese (v),Greens & Grains
Baby Spinach (vgn),Baked Sweet Potato ,Greens & Grains,Strawberry Salad w/Poppyseed Dressing(v),Greens & Grains,Jasmine Rice (vgn),Greens & Grains,Marinated Broccoli & Bean Salad (vgn),Greens & Grains
